Hours,Process_Name,Pss(k),Pss Difference(k),json Name
1,com.qualcomm.qcrilmsgtunnel,7216,2721,meminfo63
1,com.android.providers.calendar,6925,1523,meminfo26
1,com.letv.bsp.qccrashhandler,6784,1972,meminfo57
1,com.android.testing.dummyime,6680,1641,meminfo31
1,com.qti.service.colorservice,6154,2014,meminfo62
1,com.android.smspush,6095,2373,meminfo29
1,com.android.cellbroadcastreceiver,5497,1353,meminfo11
1,/system/bin/mm-qcamera-daemon,19991,249,meminfo103
1,com.letv.android.phonecontrol,13498,927,meminfo50
1,com.android.music:cde,13206,646,meminfo22
1,com.letv.android.cloudservice,7357,530,meminfo43
1,com.letv.android.wallpaperonline,6746,436,meminfo55
1,com.android.exchange,6332,898,meminfo17
1,/system/vendor/bin/slim_ap_daemon,6281,740,meminfo130
1,org.simalliance.openmobileapi.service:remote,6239,537,meminfo73
1,com.letv.android.accountinfo,5946,486,meminfo40
1,android:ui,5799,161,meminfo3
1,com.letv.android.usagestats,5593,717,meminfo54
1,com.letv.android.bugreporter,5142,450,meminfo41
1,com.android.defcontainer,4928,270,meminfo13
1,com.qualcomm.telephony,4811,471,meminfo64
1,com.android.musicfx,4538,764,meminfo23
1,/system/bin/netmgrd,4452,776,meminfo106
1,com.letv.android.LetvShareProvider,4385,306,meminfo47
1,com.qti.diagservices,4371,400,meminfo61
1,com.qualcomm.timeservice,3954,272,meminfo65
1,/system/bin/netd,1794,211,meminfo105
1,/system/bin/lowi-server,1539,607,meminfo100
1,/system/bin/sdcard,1029,734,meminfo116
1,/system/bin/qseecomd,684,142,meminfo112
1,/sbin/ueventd,664,238,meminfo77
1,/system/bin/sh,588,180,meminfo119
1,com.letv.leui.schpwronoff,4712,95,meminfo60
1,logcat,432,138,meminfo72
1,/system/bin/sensors.qcom,3425,49,meminfo117
1,/system/bin/thermal-engine,2774,53,meminfo122
1,com.android.videoplayer,21090,0,meminfo32
1,/system/bin/drmserver,1700,88,meminfo88
1,/system/bin/audiod,1526,58,meminfo81
1,/system/bin/ipacm,1478,45,meminfo93
1,app_process,13667,0,meminfo4
1,/system/bin/xtwifi-inet-agent,1267,35,meminfo126
1,/system/bin/pm-service,1154,32,meminfo109
1,/system/bin/vold,1153,21,meminfo124
1,/system/bin/time_daemon,1077,80,meminfo123
1,/system/vendor/bin/qti,1043,96,meminfo129
1,/init,996,28,meminfo71
1,/system/bin/qmuxd,960,16,meminfo111
1,/system/bin/keystore,862,18,meminfo95
1,/sbin/adbd,849,79,meminfo75
1,/system/bin/perfd,645,56,meminfo107
1,/system/bin/dts_eagle_service,628,15,meminfo89
1,/system/bin/pm-proxy,627,10,meminfo108
1,/system/bin/lmkd,478,14,meminfo96
1,/system/bin/wpa_supplicant,4035,8,meminfo125
1,/system/bin/location-mq,392,12,meminfo97
1,/system/bin/debuggerd,372,19,meminfo85
1,/system/bin/ATFWD-daemon,2499,5,meminfo80
1,/system/bin/mm-pp-daemon,2297,7,meminfo102
1,/system/bin/cnd,1002,6,meminfo82
1,/system/bin/qcom-system-daemon,887,8,meminfo110
1,/system/bin/imsdatadaemon,882,2,meminfo90
1,/system/bin/cnss-daemon,874,1,meminfo83
1,/system/bin/cnss_diag,779,0,meminfo84
1,/system/bin/imsqmidaemon,616,1,meminfo91
1,/system/bin/rmt_storage,561,5,meminfo115
1,/system/bin/rfs_access,533,1,meminfo113
1,/system/bin/adsprpcd,488,1,meminfo79
1,/system/bin/ipacm-diag,484,2,meminfo94
1,/system/bin/msm_irqbalance,473,2,meminfo104
1,/sbin/healthd,440,0,meminfo76
1,/system/bin/dhcpcd,436,1,meminfo87
1,/system/bin/loc_launcher,426,2,meminfo98
1,/system/bin/debuggerd64,396,3,meminfo86
1,/system/bin/servicemanager,389,2,meminfo118
1,/system/bin/installd,363,1,meminfo92
1,/system/bin/sw_coredump,276,0,meminfo121
2,com.android.gallery3d,284309,231374,meminfo18
2,/system/bin/surfaceflinger,200286,79822,meminfo120
2,com.android.systemui,175666,60503,meminfo30
2,system_server,171146,23104,meminfo127
2,com.baidu.BaiduMap,130253,13144,meminfo33
2,com.letv.android.wallpaperonline,95456,89153,meminfo55
2,com.android.music,86131,33455,meminfo21
2,com.android.camera2,82307,55799,meminfo10
2,com.letv.android.recorder,59217,13792,meminfo53
2,/system/bin/mediaserver,59164,38334,meminfo101
2,com.android.videoplayer,46133,25106,meminfo32
2,com.android.email,39504,27666,meminfo16
2,/system/bin/mm-qcamera-daemon,34765,15025,meminfo103
2,com.android.browser,216629,9021,meminfo6
2,com.android.launcher3,91939,8285,meminfo19
2,sina.mobile.tianqitongletv,73166,1607,meminfo78
2,com.android.settings,63219,9256,meminfo28
2,com.android.phone,63139,1468,meminfo25
2,com.android.mms,46047,2397,meminfo20
2,com.android.calendar,44652,1055,meminfo9
2,cn.wps.moffice_eng,41959,1094,meminfo5
2,uiautomator,21492,9140,meminfo131
2,android.process.media,17169,9027,meminfo2
2,com.letv.app.appstore,16976,1612,meminfo56
2,com.letv.agnes,15940,1822,meminfo38
2,zygote,15025,2758,meminfo132
2,com.android.music:cde,14088,1087,meminfo22
