Time:10,MemFree,Buffers,Cached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Dirty,Writeback,Mapped,Slab
1777,96592,53016,1671036,1306900,1295732,881192,47540,425708,1248192,4,0,379460,332144
1787,93760,53036,1671048,1309076,1295744,883348,47540,425728,1248204,4,0,379568,332336
1797,59832,53080,1672704,1344904,1297404,919212,47540,425692,1249864,76,0,383560,332272
1807,71200,53120,1672716,1336132,1297524,910432,47544,425700,1249980,4,0,383836,332408
1817,62908,52436,1639140,1353204,1254248,918592,47552,434612,1206696,64,0,385356,331904
1828,65352,52572,1638792,1361484,1252268,925000,47544,436484,1204724,140,0,384980,332064
1837,74692,52604,1633236,1348668,1246704,912144,47540,436524,1199164,20,0,378764,331440
1848,81976,52620,1633216,1341708,1246700,905184,47540,436524,1199160,8,0,378360,331616
1858,80176,52648,1633284,1342544,1246784,906008,47540,436536,1199244,4,0,378388,331816
1867,63008,52676,1633332,1344240,1246832,907676,47540,436564,1199292,96,0,378984,331976
1877,64768,52696,1624036,1349864,1237572,913284,47540,436580,1190032,64,0,379160,331248
1887,91344,52744,1620084,1357156,1233348,920288,47540,436868,1185808,164,0,379572,330832
1897,95224,52760,1620092,1352488,1233352,915600,47540,436888,1185812,36,0,379944,331280
1907,93652,52776,1620100,1353568,1233368,916672,47540,436896,1185828,40,0,380004,331264
1917,90244,52792,1620100,1354636,1233376,917732,47540,436904,1185836,40,0,380084,331248
1927,91240,52800,1620116,1353948,1233400,917044,47540,436904,1185860,28,0,380100,331392
1937,89528,52816,1620124,1354164,1233416,917252,47540,436912,1185876,24,0,380160,331352
1947,95148,52832,1620132,1349428,1233424,912500,47540,436928,1185884,20,0,379980,331360
1957,95632,52848,1620140,1349016,1233440,912080,47540,436936,1185900,20,0,380052,331480
1968,96352,52864,1620120,1348472,1233448,911548,47540,436924,1185908,36,0,380060,331448
1978,95552,52880,1620160,1348764,1233472,911832,47540,436932,1185932,72,0,380068,331464
1987,74868,53220,1617080,1341660,1229524,903496,47540,438164,1181984,580,0,375604,330776
1997,67020,53244,1616188,1348744,1228660,910584,47540,438160,1181120,72,0,376716,330880
2007,66704,53264,1616196,1349180,1228680,911016,47540,438164,1181140,72,0,376764,330952
2018,76944,53324,1612840,1377504,1223608,937560,47544,439944,1176064,204,0,378704,331080
2027,65148,53356,1609016,1375504,1219396,935140,47544,440364,1171852,176,0,378756,330664
2037,82656,53408,1589808,1382256,1199480,941136,47544,441120,1151936,152,0,378812,330680
2047,75644,53428,1575016,1381008,1184708,939884,47544,441124,1137164,116,0,380028,329568
2057,86808,53492,1576484,1370496,1186180,929328,47540,441168,1138640,600,0,376496,329728
2067,102168,54388,1575028,1360108,1185636,918940,47540,441168,1138096,92,0,376244,329792
2077,102392,54404,1575036,1359884,1185652,918708,47540,441176,1138112,28,0,376248,329768
2087,102332,54412,1575056,1359864,1185676,918684,47540,441180,1138136,28,0,376252,329784
2098,83664,54444,1575056,1369724,1185696,928540,47540,441184,1138156,28,0,377600,329784
2108,81080,54464,1575076,1371152,1185732,929956,47540,441196,1138192,76,0,377744,330024
2118,104272,54536,1575468,1375020,1186112,933740,47540,441280,1138572,112,0,377052,330344
2128,173948,54628,1575492,1322872,1184756,880120,47540,442752,1137216,128,0,376228,331152
2138,175648,54716,1575544,1333228,1184868,890448,47540,442780,1137328,148,0,376068,331312
2148,188344,54828,1575780,1320288,1185172,877464,47540,442824,1137632,16,0,371900,330840
2158,203640,55036,1575840,1312332,1183504,867572,47540,444760,1135964,168,4,373288,331584
2167,196852,55264,1576436,1316492,1184296,871700,47540,444792,1136756,128,0,374548,331520
2178,196012,55308,1576428,1316840,1184324,872040,47540,444800,1136784,140,0,374596,331488
2187,204232,55428,1576464,1307328,1184464,862512,47540,444816,1136924,104,0,373320,331832
2197,196728,55528,1576480,1303924,1184556,859084,47540,444840,1137016,232,0,372740,331472
2207,199180,55788,1576364,1312876,1184684,868020,47540,444856,1137144,112,0,374912,331408
2218,193188,55856,1576528,1306880,1184928,862036,47540,444844,1137388,116,0,374912,331400
2228,196648,55936,1576840,1315676,1185304,870816,47540,444860,1137764,144,0,375816,331384
2238,216716,56028,1576880,1295368,1185364,850436,47540,444932,1137824,8,0,369604,331192
2248,203316,56484,1576888,1309676,1185864,864780,47540,444896,1138324,196,0,373128,331168
2257,195448,56544,1576928,1303008,1185928,858076,47540,444932,1138388,168,0,372928,331216
2267,198808,56608,1577876,1310688,1186920,865740,47540,444948,1139380,112,0,373876,331344
2277,210040,56632,1577264,1298772,1186232,853792,47540,444980,1138692,8,0,372552,331368
2287,195088,56676,1577556,1300056,1186636,855072,47540,444984,1139096,84,0,372772,331448
2298,151272,56736,1578596,1336100,1187720,891100,47540,445000,1140180,184,0,374440,331464
2307,160516,56796,1578656,1328028,1187760,882948,47540,445080,1140220,188,0,371128,331672
2318,130252,56848,1578696,1337516,1187768,892360,47540,445156,1140228,68,0,371500,331760
2327,162852,56904,1580288,1321504,1189388,876312,47540,445192,1141848,116,0,369560,331672
2338,177532,57028,1578832,1311964,1188028,866744,47540,445220,1140488,24,0,369172,331608
2348,178256,57036,1578808,1310464,1188028,865260,47540,445204,1140488,44,0,369280,331712
2357,178708,57052,1578844,1309652,1188060,864428,47540,445224,1140520,32,0,369248,331760
2367,168864,57068,1578860,1318860,1188080,873624,47540,445236,1140540,36,0,370408,331904
2377,167104,57088,1578872,1319460,1188092,874204,47540,445256,1140552,36,0,370484,331952
2387,113228,58112,1582784,1358244,1192860,912832,47544,445412,1145316,184,0,373372,331968
2398,116480,58260,1587532,1337224,1197740,891784,47540,445440,1150200,1980,0,371556,331992
2408,126516,58280,1583948,1331004,1194176,885564,47540,445440,1146636,96,0,371500,331752
2417,126612,58296,1583992,1330716,1194216,885256,47540,445460,1146676,8,0,371500,331800
2427,126940,58312,1583996,1330192,1194220,884716,47540,445476,1146680,12,0,371504,331816
2438,109520,58332,1583988,1340304,1194228,894824,47540,445480,1146688,24,0,372788,331784
2447,107956,58384,1584040,1341888,1194308,896384,47540,445504,1146768,96,0,372796,331768
2458,91924,58456,1573836,1372956,1181880,925156,47540,447800,1134340,136,0,378036,331600
2468,80856,58620,1543912,1420756,1147428,968264,47540,452492,1099888,16,0,383216,329552
2478,57136,58656,1544368,1441268,1147808,988588,47540,452680,1100268,44,4,384244,329888
2487,183884,58708,1542944,1353288,1137556,891812,47540,461476,1090016,16,0,373076,329480
2497,182428,58720,1542964,1354236,1137584,892748,47540,461488,1090044,8,0,373168,329608
2507,138224,58804,1543928,1393660,1138484,932124,47540,461536,1090944,240,0,381252,329872
2518,120712,58848,1543924,1390860,1138620,929320,47540,461540,1091080,52,0,381336,329992
2528,136172,58884,1543964,1396988,1138688,935440,47540,461548,1091148,112,0,381340,330200
2538,74852,58940,1544012,1420116,1138656,958432,47540,461684,1091116,124,0,382920,330160
2547,129496,58952,1544580,1400728,1139200,939012,47540,461716,1091660,288,0,381792,330160
2558,134980,59000,1545500,1376692,1140156,914960,47540,461732,1092616,60,0,380324,330192
2567,135672,59012,1544088,1377128,1138740,915380,47540,461748,1091200,4,0,380292,330352
2578,136144,59028,1544064,1376652,1138736,914908,47540,461744,1091196,4,0,380312,330320
2588,136516,59044,1544096,1376520,1138764,914756,47540,461764,1091224,40,0,380308,330344
2598,119084,59068,1544088,1386016,1138780,924252,47540,461764,1091240,44,0,381588,330384
2607,117216,59092,1544132,1386676,1138824,924888,47540,461788,1091284,64,0,381636,330496
2617,143044,59152,1544144,1390508,1138872,928696,47540,461812,1091332,100,0,381116,330720
2627,134124,59176,1545972,1398644,1140720,936828,47540,461816,1093180,24,0,381448,330584
2637,136748,59244,1546012,1392264,1140788,930412,47540,461852,1093248,48,0,381528,330536
2647,135948,59428,1546064,1403988,1141012,942124,47540,461864,1093472,160,0,382484,330576
2657,142456,59444,1546104,1392972,1141068,931108,47540,461864,1093528,76,0,381128,330528
2667,145280,59516,1546112,1391920,1141120,930024,47540,461896,1093580,88,0,381144,330672
2677,144764,59560,1547060,1381112,1142060,919164,47540,461948,1094520,556,0,379668,330704
2687,138152,59580,1546152,1388248,1141168,926296,47540,461952,1093628,68,0,380772,330752
2697,137168,59596,1546164,1388936,1141184,926972,47540,461964,1093644,52,0,380820,330984
2708,115404,59656,1546208,1395260,1141264,933276,47544,461984,1093720,12,0,381624,331024
2717,113328,59672,1546312,1395388,1141376,933392,47540,461996,1093836,8,0,381736,331088
2727,106416,59704,1546500,1402456,1141580,940444,47540,462012,1094040,80,0,381080,331024
2737,126884,59732,1547428,1381960,1142548,919960,47540,462000,1095008,516,0,379880,330960
2747,117756,59752,1546524,1390884,1141648,928868,47540,462016,1094108,56,0,381004,331096
2758,115920,59780,1546508,1392328,1141664,930316,47540,462012,1094124,16,0,381048,331232
2767,91788,59888,1548148,1417960,1143368,955904,47544,462056,1095824,164,0,382672,332008
2777,89372,59948,1548216,1420036,1143464,957964,47544,462072,1095920,112,0,382684,332048
2787,63096,60000,1533020,1448160,1128292,986044,47544,462116,1080748,112,0,386948,330128
2797,105120,60052,1533068,1431160,1128368,969020,47544,462140,1080824,144,0,382600,330520
2808,94404,60100,1533068,1433960,1128408,971812,47544,462148,1080864,20,0,381508,330256
2817,132496,60128,1534024,1401792,1129348,939600,47544,462192,1081804,52,0,379628,330432
2827,121804,60148,1533112,1409864,1128448,947664,47544,462200,1080904,4,0,380764,330664
2837,125764,60188,1533124,1419184,1128468,956952,47544,462232,1080924,12,0,380544,330776
2848,131444,60224,1533132,1412360,1128504,950128,47544,462232,1080960,80,0,380860,330896
2857,117188,60300,1533196,1425652,1128592,963360,47544,462292,1081048,40,0,380908,330800
2867,132252,60328,1533208,1410748,1128644,948468,47544,462280,1081100,4,0,380824,330824
2877,132156,60344,1533216,1410644,1128652,948348,47544,462296,1081108,28,0,380836,330816
2887,114720,60384,1533228,1415468,1128684,953152,47544,462316,1081140,8,0,380848,330872
2897,117304,60464,1533260,1425776,1128776,963440,47544,462336,1081232,88,0,380852,330984
2907,115852,60548,1533516,1421808,1129068,959424,47544,462384,1081524,4,0,380840,331288
2918,169396,60792,1533524,1387192,1128324,923812,47540,463380,1080784,136,0,386332,328032
2931,139488,61644,1533840,1401784,1129360,938340,47540,463444,1081820,168,0,388688,331856
2944,174928,62360,1534676,1378504,1130800,914880,47540,463624,1083260,104,0,381032,332144
2954,166692,62436,1535172,1385728,1131348,922080,47548,463648,1083800,20,0,388124,331616
2963,132524,62620,1539052,1403376,1135224,939564,47540,463812,1087684,180,0,389104,332072
2974,107360,62664,1541108,1404916,1137148,940908,47544,464008,1089604,104,0,386720,332136
2983,98376,62848,1543728,1408256,1139752,944048,47544,464208,1092208,196,0,387580,332240
2993,93372,63340,1543900,1412204,1140368,947948,47544,464256,1092824,8,0,389860,332744
3003,95404,63356,1543908,1409908,1140384,945644,47544,464264,1092840,0,0,389868,332832
3075,83760,63700,1544360,1423748,1141036,959340,47540,464408,1093496,148,0,389432,333384
3085,96220,63736,1544376,1410024,1141080,945604,47540,464420,1093540,12,0,388928,333240
3094,97096,63752,1544416,1408800,1141112,944356,47540,464444,1093572,4,0,388908,333176
