Hours,Process_Name,cpu%,json Name
2,/system/bin/sdcard,3.3,cpuinfo150
2,/sbin/adbd,3.3,cpuinfo130
2,com.android.deskclock,3.3,cpuinfo15
2,[hwrng],3.2,cpuinfo64
2,com.qti.diagservices,2.9,cpuinfo51
2,[mdss_fb0],2.6,cpuinfo120
2,[msm-core:sampli],1.7,cpuinfo124
2,[kworker/2:0],1.7,cpuinfo85
2,[ksoftirqd/2],1.7,cpuinfo70
2,[ksoftirqd/0],1.7,cpuinfo68
2,cn.wps.moffice_eng,1.7,cpuinfo7
2,/system/bin/lmkd,1.6,cpuinfo137
2,[system],1.6,cpuinfo135
2,[mmcqd/0],1.6,cpuinfo123
2,[migration/2],1.6,cpuinfo122
2,[mdss_dsi_event],1.6,cpuinfo119
2,logcat,1.6,cpuinfo118
2,[kworker/u17:0],1.6,cpuinfo117
2,[kworker/u16:8],1.6,cpuinfo115
2,[kworker/u16:7],1.6,cpuinfo114
2,[kworker/u16:6],1.6,cpuinfo113
2,[kworker/u16:5],1.6,cpuinfo112
2,[kworker/u16:4],1.6,cpuinfo111
2,[kworker/u16:2],1.6,cpuinfo109
2,[kworker/2:4],1.6,cpuinfo93
2,[kworker/2:2],1.6,cpuinfo91
2,[kworker/1:1],1.6,cpuinfo82
2,[kworker/0:2],1.6,cpuinfo79
2,[kworker/0:1],1.6,cpuinfo76
2,[kswapd0],1.6,cpuinfo74
2,[ksoftirqd/3],1.6,cpuinfo71
2,[ksoftirqd/1],1.6,cpuinfo69
2,[jbd2/mmcblk0p47],1.6,cpuinfo67
2,[irq/224-spdm_bw],1.6,cpuinfo66
2,[irq/215-fc38800],1.6,cpuinfo65
2,com.quicinc.cne.CNEService,1.6,cpuinfo55
2,com.letv.android.phonecontrol,1.6,cpuinfo42
2,com.letv.android.ota,1.6,cpuinfo41
2,com.android.nfc,1.6,cpuinfo24
2,com.android.calendar,1.6,cpuinfo11
2,/system/bin/msm_irqbalance,1.5,cpuinfo141
2,[rcu_preempt],1.5,cpuinfo129
2,[kworker/u16:0],1.5,cpuinfo107
2,[kworker/3:3],1.5,cpuinfo102
2,[kworker/3:1H],1.5,cpuinfo100
2,[kworker/3:1],1.5,cpuinfo97
2,[kworker/1:2],1.5,cpuinfo83
2,[cfinteractive],1.5,cpuinfo6
2,[kworker/u16:1],1.4,cpuinfo108
2,[kworker/3:0],1.4,cpuinfo96
2,[kworker/1:0],1.4,cpuinfo81
2,[kworker/0:3],1.4,cpuinfo80
2,/system/bin/perfd,1.3,cpuinfo144
2,[kworker/1:3],1.3,cpuinfo84
2,[kworker/0:0],1.3,cpuinfo75
2,[file-storage],1,cpuinfo63
2,[core_ctl/4],1,cpuinfo60
