Loop:10,Time,PID,%CPU,Command,Thread/avgs
102,3042,1878,1.4,com.android.systemui,ndroid.systemui
102,3042,2612,1.4,com.android.server.telecom,.server.telecom
102,3042,29415,1.4,uiautomator,
102,3042,29404,1.4,logcat,-v time,
102,3042,57,1.4,[cfinteractive],
102,3042,16300,1.4,[kworker/0:2],
103,3052,30343,9,com.android.incallui,ndroid.incallui
103,3052,7295,9,/sbin/adbd,--root_seclabel=u:r:su:s0,
103,3052,29404,9,logcat,-v time,
103,3052,834,4.5,system_server,
103,3052,284,4.5,/system/bin/aal,Binder_2
103,3052,2975,4.5,/system/bin/wpa_supplicant,-iwlan0 -Dnl80211 -c/data/misc/wifi/wpa_supplicant.conf -I/system/etc/wifi/wpa_supplicant_overlay.conf -N -ip2p0 -Dnl80211 -c/data/misc/wifi/p2p_supplicant.conf -e/data/misc/wifi/entropy.bin -ddd -I/system/etc/wifi/p2p_supplicant_overlay.conf -O/data/misc/wifi/sockets -g@android:wpa_wlan0,
103,3052,16300,4.5,[kworker/0:2],
104,3062,834,6.4,system_server,
104,3062,1878,6.4,com.android.systemui,ndroid.systemui
104,3062,2634,6.4,com.android.phone,m.android.phone
104,3062,7295,4.3,/sbin/adbd,--root_seclabel=u:r:su:s0,
104,3062,251,2.1,/system/bin/surfaceflinger,
104,3062,249,2.1,/system/bin/servicemanager,
104,3062,29404,2.1,logcat,-v time,
106,3082,834,2,system_server,
106,3082,152,1,[mtk_charger_hv_],
107,3092,834,16.5,system_server,
107,3092,2681,8.8,com.android.settings,ndroid.settings
107,3092,7295,4.4,/sbin/adbd,--root_seclabel=u:r:su:s0,
107,3092,251,2.2,/system/bin/surfaceflinger,
107,3092,19755,2.2,logcat,-v time,
107,3092,249,1.1,/system/bin/servicemanager,
107,3092,153,1.1,[mmcqd/0],
107,3092,7158,1.1,[kworker/u16:7],
107,3092,813,1.1,[ksdioirqd/mmc1],
109,3112,7295,4.1,/sbin/adbd,--root_seclabel=u:r:su:s0,
109,3112,19758,2.7,uiautomator,
109,3112,19755,2.7,logcat,-v time,
109,3112,2634,1.3,com.android.phone,m.android.phone
109,3112,5177,1.3,[kworker/2:2],
110,3122,15432,16.6,com.android.browser:service,browser:service
110,3122,21250,8.3,com.android.contacts,ndroid.contacts
111,3132,2681,14.2,com.android.settings,ndroid.settings
111,3132,2976,2.6,com.android.launcher3,droid.launcher3
111,3132,7295,1.3,/sbin/adbd,--root_seclabel=u:r:su:s0,
112,3142,7295,30.4,/sbin/adbd,--root_seclabel=u:r:su:s0,
112,3142,19755,26,logcat,-v time,
112,3142,834,17.3,system_server,
112,3142,2975,4.3,/system/bin/wpa_supplicant,-iwlan0 -Dnl80211 -c/data/misc/wifi/wpa_supplicant.conf -I/system/etc/wifi/wpa_supplicant_overlay.conf -N -ip2p0 -Dnl80211 -c/data/misc/wifi/p2p_supplicant.conf -e/data/misc/wifi/entropy.bin -ddd -I/system/etc/wifi/p2p_supplicant_overlay.conf -O/data/misc/wifi/sockets -g@android:wpa_wlan0,
112,3142,16300,4.3,[kworker/0:2],
112,3142,21357,4.3,[kworker/1:3],
113,3152,257,6.8,/system/bin/ccci_mdinit,0,
113,3152,2681,4.5,com.android.settings,ndroid.settings
113,3152,251,1.1,/system/bin/surfaceflinger,
113,3152,284,1.1,/system/bin/aal,Binder_2
113,3152,7295,1.1,/sbin/adbd,--root_seclabel=u:r:su:s0,
113,3152,128,1.1,[frame_update_wo],
114,3162,2681,4.9,com.android.settings,ndroid.settings
114,3162,7295,1.6,/sbin/adbd,--root_seclabel=u:r:su:s0,
114,3162,19755,1.6,logcat,-v time,
114,3162,2634,0.8,com.android.phone,m.android.phone
114,3162,32147,0.8,/system/bin/gsm0710muxd,-s /dev/ttyC0 -f 512 -n 8 -m basic,
114,3162,5178,0.8,[kworker/3:2],
114,3162,7196,0.8,[kworker/6:1],
116,3182,834,1.5,system_server,
116,3182,57,1.5,[cfinteractive],
117,3192,7295,5.1,/sbin/adbd,--root_seclabel=u:r:su:s0,
117,3192,19755,5.1,logcat,-v time,
117,3192,834,2.6,system_server,
117,3192,21357,1.3,[kworker/1:3],
117,3192,61,1.3,[kworker/4:1],
117,3192,6660,1.3,[kworker/0:4],
121,3232,2976,10.7,com.android.launcher3,droid.launcher3
121,3232,251,3.5,/system/bin/surfaceflinger,
121,3232,7295,3.5,/sbin/adbd,--root_seclabel=u:r:su:s0,
121,3232,152,3.5,[mtk_charger_hv_],
122,3242,2969,1.4,[hif_thread],
123,3252,2681,13.6,com.android.settings,ndroid.settings
123,3252,834,4.5,system_server,
123,3252,1878,4.5,com.android.systemui,ndroid.systemui
124,3262,57,7.6,[cfinteractive],
125,3272,834,6.6,system_server,
126,3282,2976,10.7,com.android.launcher3,droid.launcher3
126,3282,251,7.1,/system/bin/surfaceflinger,
126,3282,287,7.1,/system/bin/mtk_agpsd,
126,3282,7295,7.1,/sbin/adbd,--root_seclabel=u:r:su:s0,
126,3282,834,3.5,system_server,
126,3282,2975,3.5,/system/bin/wpa_supplicant,-iwlan0 -Dnl80211 -c/data/misc/wifi/wpa_supplicant.conf -I/system/etc/wifi/wpa_supplicant_overlay.conf -N -ip2p0 -Dnl80211 -c/data/misc/wifi/p2p_supplicant.conf -e/data/misc/wifi/entropy.bin -ddd -I/system/etc/wifi/p2p_supplicant_overlay.conf -O/data/misc/wifi/sockets -g@android:wpa_wlan0,
126,3282,12928,3.5,logcat,-v time,
126,3282,153,3.5,[mmcqd/0],
126,3282,2969,3.5,[hif_thread],
126,3282,2968,3.5,[tx_thread],
127,3292,15409,15.7,com.android.browser,android.browser
127,3292,3747,3.1,com.letv.android.wallpaperonline,wallpaperonline
127,3292,57,3.1,[cfinteractive],
128,3302,2681,16,com.android.settings,ndroid.settings
128,3302,251,8,/system/bin/surfaceflinger,
128,3302,834,4,system_server,
128,3302,12931,4,uiautomator,
128,3302,7295,4,/sbin/adbd,--root_seclabel=u:r:su:s0,
128,3302,19486,4,[kworker/u16:0],
133,3352,2976,30.7,com.android.launcher3,droid.launcher3
133,3352,251,15.3,/system/bin/surfaceflinger,
133,3352,152,7.6,[mtk_charger_hv_],
133,3352,7158,7.6,[kworker/u16:7],
134,3362,2976,4.5,com.android.launcher3,droid.launcher3
134,3362,15432,4.5,com.android.browser:service,browser:service
134,3362,21250,2.3,com.android.contacts,ndroid.contacts
134,3362,21296,2.3,com.mediatek.ppl,om.mediatek.ppl
134,3362,22449,2.3,com.mediatek.providers.drm,k.providers.drm
134,3362,251,2.3,/system/bin/surfaceflinger,
134,3362,22471,1.1,com.android.gallery3d,droid.gallery3d
134,3362,7295,1.1,/sbin/adbd,--root_seclabel=u:r:su:s0,
135,3372,152,1.1,[mtk_charger_hv_],
139,3412,2976,12.4,com.android.launcher3,droid.launcher3
139,3412,251,4.1,/system/bin/surfaceflinger,
139,3412,284,4.1,/system/bin/aal,Binder_2
139,3412,7295,4.1,/sbin/adbd,--root_seclabel=u:r:su:s0,
140,3422,834,32.8,system_server,
140,3422,23248,10.9,com.android.deskclock,droid.deskclock
140,3422,21296,5.4,com.mediatek.ppl,om.mediatek.ppl
140,3422,22471,5.4,com.android.gallery3d,droid.gallery3d
140,3422,21250,2.7,com.android.contacts,ndroid.contacts
140,3422,22449,2.7,com.mediatek.providers.drm,k.providers.drm
140,3422,30912,2.7,[kworker/u16:8],
141,3432,21250,1.1,com.android.contacts,ndroid.contacts
141,3432,21296,1.1,com.mediatek.ppl,om.mediatek.ppl
141,3432,22449,1.1,com.mediatek.providers.drm,k.providers.drm
141,3432,7295,1.1,/sbin/adbd,--root_seclabel=u:r:su:s0,
142,3442,23248,2.6,com.android.deskclock,droid.deskclock
142,3442,834,0.8,system_server,
144,3462,2976,16.3,com.android.launcher3,droid.launcher3
